RA ,DEC, BMAG, D
162.8363 , 32.7664 ,13.23 ,   12.02
180.7954 , 32.9561 ,16.70 ,    7.55
136.8954 , 33.2767 ,14.60 ,   20.30
133.1704 , 33.4172 ,10.34 ,    7.73
 38.3258 , 33.4911 ,13.96 ,    9.30
186.4575 , 33.5461 ,10.64 ,    4.61
 36.8167 , 33.5781 ,10.58 ,    9.29
141.5392 , 33.7178 ,17.80 ,   19.70
160.6746 , 34.4489 ,13.73 ,    8.11
194.7583 , 34.8603 ,12.90 ,    7.30
188.5229 , 35.5183 ,13.20 ,    9.80
183.7625 , 35.9586 ,14.36 ,    8.80
183.0371 , 36.1694 ,13.63 ,    2.94
183.9121 , 36.3275 ,10.24 ,    2.94
159.0733 , 36.4253 ,17.00 ,    8.10
182.4850 , 36.4353 ,15.50 ,    4.83
163.1296 , 36.6189 ,11.67 ,    9.20
183.4358 , 36.6333 ,13.50 ,    2.82
219.7725 , 36.8061 ,16.41 ,    9.20
196.4554 , 37.6058 ,12.02 ,    4.70
188.2000 , 37.6217 ,13.30 ,   14.50
184.3746 , 37.8075 ,10.88 ,    4.49
199.2704 , 37.9525 ,15.60 ,    5.04
185.2287 , 38.4303 ,15.40 ,    8.03
191.8858 ,-77.5836 ,18.00 ,    3.16
 50.2625 ,-66.3197 ,16.50 ,    3.98
283.9217 ,-64.8108 ,15.63 ,    6.70
287.8462 ,-64.2192 ,14.96 ,    8.30
286.7454 ,-63.9658 ,17.70 ,    8.30
288.0954 ,-63.8561 ,17.90 ,    8.30
287.1833 ,-63.7314 ,15.10 ,    8.30
220.4279 ,-62.7672 ,20.50 ,    6.02
106.3213 ,-58.5206 ,14.95 ,    4.90
 94.0383 ,-57.7653 ,17.01 ,    6.00
 93.9771 ,-57.7264 ,15.27 ,    6.05
206.9904 ,-53.3511 ,14.20 ,    3.60
358.0117 ,-52.5775 ,15.05 ,    5.90
231.5954 ,-51.1753 ,19.50 ,    5.68
218.7625 ,-49.4217 ,16.33 ,    5.80
 44.5171 ,-49.3825 ,16.44 ,    6.56
335.6254 ,-48.4050 ,14.70 ,    7.80
225.2854 ,-48.2925 ,13.82 ,    6.49
164.3758 ,-48.1789 ,16.03 ,    5.25
146.3533 ,-48.1414 ,16.90 ,   14.90
207.8417 ,-47.0000 ,17.50 ,    5.73
207.1933 ,-46.9969 ,17.30 ,    3.98
195.8900 ,-46.5842 ,16.29 ,    3.48
217.0154 ,-46.3017 ,15.20 ,    3.58
335.9292 ,-45.8822 ,16.37 ,    8.80
