|name             |ra        |dec      |bmag |ks_mag|ks_mag_flag|linear_diameter|distance|radial_velocity|abs_bmag|
|MESSIER101       |14 03 12.8|+54 21 02| 8.31|  5.51|           |          65.20|    7.38|            240|   -21.1|
|KKR25            |16 13 47.6|+54 22 16|17.00| 12.86|C          |           0.59|    1.86|            -79|    -9.4|
|NGC5477          |14 05 33.1|+54 27 39|14.19| 11.79|C          |           4.57|    7.70|            312|   -15.3|
|NGC3738          |11 35 48.6|+54 31 22|11.87|  9.61|           |           4.82|    4.90|            225|   -16.7|
|LV J1354+5438    |13 54 50.6|+54 38 50|     |      |C          |               |    7.41|            210|        |
|UGC08508         |13 30 44.4|+54 54 36|14.12| 11.57|           |           1.66|    2.69|             56|   -13.1|
|NGC3990          |11 57 35.6|+55 27 31|13.43|  9.55|           |           5.02|   10.30|            696|   -16.7|
|NGC3556          |11 11 31.0|+55 40 26|10.69|  7.04|           |          13.86|    9.90|            696|   -20.2|
|KKH73            |11 50 06.4|+55 47 00|17.30| 14.91|C          |           1.82|    9.00|            594|   -12.5|
|KKH11            |02 24 35.0|+56 00 42|16.20| 11.74|           |           2.24|    3.00|            296|   -13.3|
|LV J1157+5638    |11 57 54.2|+56 38 17|17.10| 14.68|C          |           0.99|    7.03|            416|   -12.2|
|NGC5585          |14 19 48.3|+56 43 49|11.20|  9.50|           |           9.74|    5.70|            303|   -17.8|
|Cepheus1         |20 51 09.7|+56 53 24|15.40|  9.05|C          |          12.32|    6.00|             33|   -17.6|
|KKH87            |14 15 09.4|+57 05 15|16.10| 13.70|C          |           2.28|    7.20|            320|   -13.2|
|KKR60            |21 05 53.0|+57 12 19|18.00| 11.47|C          |           3.22|    5.90|            -14|   -15.4|
|DDO194           |14 35 24.6|+57 15 24|14.52| 11.87|C          |           4.83|    8.02|            218|   -15.1|
|KKR59            |21 03 24.2|+57 17 14|15.70|  9.57|C          |           8.87|    5.89|             -3|   -17.0|
|KKH12            |02 27 27.0|+57 29 16|17.80| 11.79|           |           2.97|    3.00|             70|   -13.0|
|Draco            |17 20 01.4|+57 54 34|10.90|  6.69|C          |           0.84|    0.08|           -296|    -8.7|
|DDO123           |12 26 08.1|+58 19 21|14.50| 11.85|C          |           8.50|   10.50|            722|   -15.7|
|NGC5204          |13 29 36.4|+58 25 04|11.73|  9.51|           |           6.88|    4.66|            201|   -16.8|
|KKR56            |20 48 24.1|+58 37 06|17.60| 12.38|C          |           2.35|    5.89|            -43|   -14.4|
|MB3              |02 55 43.6|+58 51 42|19.38| 10.93|           |           4.47|    3.00|             59|   -13.7|
|Dw1              |02 56 56.1|+58 54 42|15.01|  5.17|C          |           6.30|    2.80|            112|   -18.8|
|Dw2              |02 54 08.5|+59 00 19|17.97| 10.22|           |           2.55|    3.00|             94|   -14.6|
|IC0010           |00 20 24.5|+59 17 30|11.78|  6.51|           |           2.85|    0.66|           -346|   -16.0|
|MB1              |02 35 35.6|+59 22 47|17.80| 10.46|           |           2.25|    3.00|            190|   -13.8|
|Maffei2          |02 41 54.5|+59 36 11|14.77|  4.50|           |          14.28|    2.80|            -15|   -20.1|
|Maffei1          |02 36 35.5|+59 39 18|13.47|  5.55|           |          10.48|    3.01|             66|   -19.0|
|KDG229           |13 53 41.6|+60 03 04|16.50| 14.10|C          |           1.96|    8.00|               |   -13.1|
|NGC6946          |20 34 51.1|+60 09 15| 9.61|  5.37|           |          34.68|    5.89|             51|   -20.8|
|KK251            |20 30 32.0|+60 21 13|16.50| 12.98|C          |           3.48|    5.89|            130|   -13.6|
|KKR55            |20 45 20.8|+60 24 40|17.00| 11.96|C          |           1.92|    5.89|             32|   -14.8|
|UGC11583         |20 30 15.3|+60 26 25|15.90| 12.30|C          |           4.71|    5.89|            126|   -14.3|
|KK252            |20 31 32.6|+60 48 48|16.70| 12.57|C          |           2.33|    5.89|            138|   -14.1|
|UGC06757         |11 46 59.1|+61 20 06|16.30| 13.82|C          |           0.88|    2.73|             82|   -11.0|
|NGC4605          |12 40 00.3|+61 36 29|10.89|  7.76|           |           9.55|    5.47|            151|   -18.1|
|UGCA105          |05 14 15.1|+62 34 51|12.14|  8.20|           |           6.62|    3.15|            113|   -16.8|
|UMa II           |08 51 30.0|+63 07 48|14.80| 10.35|C          |           0.25|    0.03|           -116|    -3.1|
|KKH57            |10 00 16.0|+63 11 06|17.87| 13.69|C          |           0.70|    3.91|               |   -10.2|
|UGCA092          |04 32 00.3|+63 36 50|15.22| 11.00|           |           3.56|    3.01|            -95|   -15.6|
|NGC6789          |19 16 41.8|+63 58 22|13.76| 11.20|           |           1.58|    3.63|           -140|   -14.3|
|UGC05497         |10 12 48.4|+64 06 27|15.60| 13.18|C          |           0.96|    3.70|            150|   -12.3|
|NGC1569          |04 30 49.1|+64 50 53|11.79|  7.50|           |           5.77|    3.06|            -86|   -18.1|
|DDO087           |10 49 36.5|+65 31 50|15.15| 11.86|           |           3.46|    7.45|            340|   -14.3|
|NGC2403          |07 36 51.4|+65 35 58| 8.80|  6.19|           |          26.46|    3.18|            125|   -19.2|
|BK6N             |10 34 31.9|+66 00 42|16.90| 12.75|C          |           1.23|    3.85|               |   -11.1|
|UGC07242         |12 14 07.4|+66 05 32|14.60| 12.18|C          |           1.91|    5.42|             66|   -14.2|
|DDO053           |08 34 06.5|+66 10 45|14.55| 12.77|           |           2.13|    3.56|             19|   -13.4|
|KDG063           |10 05 07.3|+66 33 18|16.01| 11.53|C          |           2.18|    3.50|           -129|   -12.1|
|[CKT2009]d0958+66|09 58 48.5|+66 50 59|16.00| 13.41|C          |           1.06|    4.04|             90|   -12.3|
|DDO044           |07 34 11.3|+66 53 10|15.64| 11.37|C          |           2.72|    3.19|            213|   -12.1|
|CamB             |04 53 06.9|+67 05 57|16.71| 13.36|           |           1.71|    3.34|             78|   -11.9|
|UGCA086          |03 59 49.5|+67 07 31|13.50|  8.17|           |           9.14|    2.96|             72|   -17.9|
|[CKT2009]d1006+67|10 06 46.2|+67 12 04|19.70| 15.32|C          |           0.39|    3.87|               |    -8.6|
|UMin             |15 09 11.3|+67 12 52|11.90|  7.67|C          |           0.53|    0.06|           -255|    -7.1|
|UGC09992         |15 41 47.8|+67 15 15|15.40| 12.90|C          |           3.58|    7.30|            423|   -14.1|
|F8D1             |09 44 50.0|+67 28 32|15.70| 11.22|C          |           2.70|    3.77|           -125|   -12.6|
|KK77             |09 50 10.0|+67 30 24|16.30| 11.63|C          |           2.89|    3.48|               |   -12.0|
|DDO078           |10 26 27.9|+67 39 24|16.50| 12.29|C          |           2.23|    3.72|             55|   -11.5|
|DDO165           |13 06 26.8|+67 42 15|13.31| 11.14|           |           5.40|    4.57|             31|   -15.1|
|KDG064           |10 07 01.9|+67 49 39|15.52| 11.19|C          |           2.19|    3.70|            -15|   -12.6|
|KK35             |03 45 12.6|+67 51 50|15.70| 11.06|C          |           3.91|    3.16|            -66|   -14.3|
|NGC2976          |09 47 15.6|+67 54 49|11.01|  7.53|           |           6.17|    3.56|              6|   -17.1|
|IC0342           |03 46 48.9|+68 05 45| 9.37|  4.57|           |          34.25|    3.28|             29|   -20.7|
|BK5N             |10 04 40.3|+68 15 20|17.53| 13.20|C          |           0.93|    3.78|               |   -10.6|
|UGC04998         |09 25 12.1|+68 22 59|15.00| 11.11|           |           4.41|    8.24|            632|   -14.9|
|IKN              |10 08 05.9|+68 23 57|16.50| 12.16|C          |           3.15|    3.75|           -140|   -11.6|
|IC2574           |10 28 22.4|+68 24 58|10.80|  7.95|C          |          15.39|    4.02|             43|   -17.5|
|KDG061           |09 57 02.7|+68 35 30|15.24| 10.86|C          |           1.55|    3.60|            221|   -12.9|
|[CKT2009]d0959+68|09 59 33.1|+68 39 25|18.00| 15.36|C          |           0.88|    3.60|           -186|   -10.1|
|ClumpIII         |10 00 40.4|+68 39 37|19.80| 17.17|C          |           0.11|    3.60|           -121|    -8.3|
|GARLAND          |10 03 42.0|+68 41 36|16.80| 14.18|C          |           4.61|    3.82|             43|   -11.4|
|HIJASS J1021+6842|10 21 00.2|+68 42 00|     |      |C          |               |    3.70|             46|        |
|ClumpI           |09 57 21.2|+68 42 55|19.80| 17.17|C          |           0.20|    3.60|           -165|    -8.3|
|NGC3077          |10 03 21.0|+68 44 02|10.62|  7.32|           |           7.58|    3.82|             19|   -17.6|
|[CKT2009]d1014+68|10 14 55.8|+68 45 27|20.20| 15.92|C          |           0.28|    4.57|               |    -8.3|
|FM1              |09 45 10.0|+68 45 54|17.50| 13.12|C          |           0.96|    3.40|               |   -10.5|
|BK3N             |09 53 48.5|+68 58 09|18.78| 16.11|C          |           0.40|    4.02|            -40|    -9.6|
|Cas1             |02 06 07.9|+69 00 36|15.29|  9.34|           |           5.39|    3.30|             35|   -16.7|
|[CKT2009]d1015+69|10 15 06.9|+69 02 15|20.50| 16.21|C          |           0.31|    4.07|               |    -7.8|
|HolmIX           |09 57 32.4|+69 02 35|14.53| 11.86|C          |           2.96|    3.61|             50|   -13.6|
|MESSIER081       |09 55 33.5|+69 04 00| 7.79|  3.83|           |          31.35|    3.63|            -38|   -20.9|
|NGC2787          |09 19 18.6|+69 12 12|11.82|  7.26|           |           7.99|    7.48|            700|   -18.5|
|NGC2366          |07 28 54.6|+69 12 19|11.68|  9.14|C          |           6.68|    3.19|             96|   -16.1|
|[CKT2009]d0944+69|09 44 22.5|+69 12 40|21.00| 16.52|C          |           0.26|    3.98|               |    -7.4|
|A0952+69         |09 57 29.0|+69 16 20|16.80| 14.11|C          |           2.17|    3.87|             99|   -11.5|
|NGC4236          |12 16 43.3|+69 27 56|10.05|  7.50|           |          27.39|    4.45|             -3|   -18.6|
|KDG073           |10 52 57.1|+69 32 45|17.09| 14.73|C          |           1.29|    3.70|            116|   -10.8|
|MESSIER082       |09 55 53.9|+69 40 57| 9.06|  4.67|           |          13.16|    3.53|            183|   -19.6|
|UGC04483         |08 37 03.0|+69 46 31|14.95| 13.33|           |           1.24|    3.21|            156|   -12.7|
|NGC6503          |17 49 27.6|+70 08 41|10.86|  7.30|           |          10.72|    5.27|             51|   -18.3|
|[CKT2009]d1041+70|10 41 16.8|+70 09 03|19.60| 16.98|C          |           0.41|    3.91|               |    -8.7|
|[CKT2009]d0934+70|09 34 03.7|+70 12 57|19.30| 14.18|C          |           0.87|    3.66|               |    -9.6|
|[CKT2009]d1028+70|10 28 39.7|+70 14 01|16.20| 13.69|C          |           0.85|    4.00|           -114|   -12.0|
|UGC11411         |19 08 42.3|+70 17 02|15.60| 12.80|           |           1.20|    4.73|             69|   -13.3|
|KDG235           |17 00 25.3|+70 17 24|16.80| 14.31|C          |           4.07|   10.60|            443|   -13.5|
|UGC05423         |10 05 30.6|+70 21 52|14.42| 11.99|           |           2.88|    8.71|            348|   -15.6|
|[CKT2009]d0955+70|09 55 13.6|+70 24 29|19.50| 14.81|C          |           0.48|    3.93|               |    -9.1|
|[CKT2009]d0926+70|09 26 27.9|+70 30 24|19.00| 15.74|C          |           0.56|    3.93|               |   -10.0|
|[CKT2009]d1009+70|10 09 34.9|+70 32 55|18.00| 13.36|C          |           2.15|    9.00|               |   -12.4|
|DDO082           |10 30 35.0|+70 37 10|13.49| 10.29|           |           4.02|    4.00|             56|   -14.7|
|HolmII           |08 19 04.0|+70 42 51|11.10|  8.00|           |           9.00|    3.39|            157|   -16.7|
|KDG052           |08 23 56.0|+71 01 46|16.35| 13.63|           |           1.32|    3.55|            116|   -11.5|
|HS117            |10 21 25.2|+71 06 58|17.30| 14.50|C          |           1.90|    3.96|            -37|   -11.2|
|HolmI            |09 40 32.3|+71 11 11|13.64| 11.20|           |           5.29|    3.84|            139|   -14.5|
|[CKT2009]d0939+71|09 39 15.9|+71 18 42|19.60| 17.09|C          |           0.38|    3.63|               |    -8.4|
|[CKT2009]d0944+71|09 44 34.4|+71 28 57|16.70| 12.47|C          |           0.89|    3.39|               |   -11.1|
|NGC1560          |04 32 49.9|+71 52 52|12.11|  9.26|           |          10.84|    3.45|            -36|   -16.7|
|KKH22            |03 44 56.6|+72 03 52|18.00| 14.13|C          |           1.49|    3.50|               |   -11.4|
|CamA             |04 25 15.6|+72 48 21|14.84| 11.64|C          |           5.07|    3.93|            -54|   -14.1|
|KKH34            |05 59 41.2|+73 25 39|17.10| 13.76|C          |           1.55|    4.61|            106|   -12.3|
|UGC08245         |13 08 34.2|+78 56 13|14.75| 12.20|           |           1.23|    1.99|            -58|   -11.9|
|UGC06456         |11 28 00.6|+78 59 29|14.27| 12.48|           |           1.89|    4.35|            -94|   -14.1|
|KKH37            |06 47 45.8|+80 07 26|16.40| 13.75|C          |           1.20|    3.39|             11|   -11.6|
