|name             |ra        |dec      |bmag |ks_mag|ks_mag_flag|linear_diameter|distance|radial_velocity|abs_bmag|
|PGC170257        |13 29 21.0|-21 10 45|15.33| 12.60|           |           1.93|    6.50|            650|   -14.2|
|NGC5068          |13 18 55.3|-21 02 21|10.52|  7.55|           |          17.33|    5.45|            668|   -18.6|
|DDO006           |00 49 49.3|-21 00 58|15.30| 13.26|           |           2.18|    3.34|            292|   -12.4|
|HIPASS J0705-20  |07 05 45.0|-20 59 30|     |      |C          |               |    7.23|            766|        |
|NGC0247          |00 47 08.3|-20 45 36| 9.86|  7.43|           |          25.91|    3.65|            161|   -18.5|
|ESO553-046       |05 27 05.7|-20 40 41|14.60| 12.00|           |           1.70|    5.07|            541|   -14.1|
|ESO565-003       |09 23 09.9|-20 10 03|15.53| 12.93|C          |           1.65|    7.52|            829|   -14.1|
|ESO540-032       |00 50 24.6|-19 54 25|16.44| 14.01|C          |           1.53|    3.42|            228|   -11.3|
|HIZSS014         |07 36 22.6|-19 29 40|18.40| 10.82|C          |           2.88|    7.35|            786|   -16.7|
|KK176            |12 59 56.3|-19 24 47|16.50| 14.00|C          |           3.01|    6.90|            825|   -12.9|
|UGCA153          |09 13 12.1|-19 24 31|15.40| 12.36|C          |          15.17|   21.90|            766|   -16.8|
|ESO572-034       |11 58 58.1|-19 01 48|14.27| 11.50|           |           3.29|    8.50|           1114|   -15.6|
|NGC1400          |03 39 30.8|-18 41 17|11.92|  7.81|           |          26.71|   24.50|            569|   -20.3|
|NGC2283          |06 45 52.7|-18 12 37|12.93|  8.83|           |          14.96|   10.00|            841|   -18.9|
|KDG002           |00 49 21.1|-18 04 28|16.37| 13.93|C          |           1.24|    3.40|            224|   -11.4|
|KKSG9            |06 46 56.9|-17 56 29|16.40| 11.66|           |           2.17|   10.00|            693|   -15.7|
|IC2171           |06 44 27.3|-17 55 57|15.17| 10.81|C          |           7.59|    9.90|            789|   -16.7|
|Sag dIr          |19 29 59.0|-17 40 41|14.12| 12.13|           |           0.97|    1.04|            -79|   -11.5|
|DDO161           |13 03 16.8|-17 25 23|13.50| 10.38|C          |          16.77|    7.30|            744|   -16.4|
|UGCA319          |13 02 14.4|-17 14 15|15.08| 12.07|           |           2.84|    7.30|            755|   -14.6|
|MCG -03-34-002   |13 07 56.6|-16 41 21|14.79| 12.55|           |           2.99|    7.90|            959|   -15.1|
|WLM              |00 01 58.1|-15 27 40|11.03|  9.00|           |           3.21|    0.97|           -122|   -14.1|
