209.3108  54.1008     8.32
210.8033  54.3506     7.38
243.4483  54.3711     1.86
211.3879  54.4608     7.70
173.9525  54.5228     4.90
208.7108  54.6472     7.41
202.6850  54.9100     2.69
179.3983  55.4586    10.30
167.8792  55.6739     9.90
177.5267  55.7833     9.00
 36.1458  56.0117     3.00
179.4758  56.6381     7.03
214.9512  56.7303     5.70
312.7904  56.8900     6.00
213.7892  57.0875     7.20
316.4708  57.2053     5.90
218.8525  57.2567     8.02
315.8508  57.2872     5.89
 36.8625  57.4878     3.00
260.0058  57.9094     0.08
186.5337  58.3225    10.50
202.4017  58.4178     4.66
312.1004  58.6183     5.89
 43.9317  58.8617     3.00
 44.2338  58.9117     2.80
 43.5354  59.0053     3.00
  5.1021  59.2917     0.66
 38.8983  59.3797     3.00
 40.4771  59.6031     2.80
 39.1479  59.6550     3.01
208.4233  60.0511     8.00
308.7129  60.1542     5.89
307.6333  60.3536     5.89
311.3367  60.4111     5.89
307.5638  60.4403     5.89
307.8858  60.8133     5.89
176.7463  61.3350     2.73
190.0012  61.6081     5.47
 78.5629  62.5808     3.15
132.8750  63.1300     0.03
150.0667  63.1850     3.91
 68.0012  63.6139     3.01
289.1742  63.9728     3.63
153.2017  64.1075     3.70
 67.7046  64.8481     3.06
162.4021  65.5306     7.45
114.2142  65.5994     3.18
158.6329  66.0117     3.85
183.5308  66.0922     5.42
128.5271  66.1792     3.56
151.2804  66.5550     3.50
149.7021  66.8497     4.04
113.5471  66.8861     3.19
 73.2788  67.0992     3.34
 59.9562  67.1253     2.96
151.6925  67.2011     3.87
227.2971  67.2144     0.06
235.4492  67.2542     7.30
146.2083  67.4756     3.77
147.5417  67.5067     3.48
156.6163  67.6567     3.72
196.6117  67.7042     4.57
151.7579  67.8275     3.70
 56.3025  67.8639     3.16
146.8150  67.9136     3.56
 56.7037  68.0958     3.28
151.1679  68.2556     3.78
141.3004  68.3831     8.24
152.0246  68.3992     3.75
157.0933  68.4161     4.02
149.2612  68.5917     3.60
149.8879  68.6569     3.60
150.1683  68.6603     3.60
150.9250  68.6933     3.82
155.2508  68.7000     3.70
149.3383  68.7153     3.60
150.8375  68.7339     3.82
153.7325  68.7575     4.57
146.2917  68.7650     3.40
148.4521  68.9692     4.02
 31.5329  69.0100     3.30
153.7788  69.0375     4.07
149.3850  69.0431     3.61
148.8896  69.0667     3.63
139.8275  69.2033     7.48
112.2275  69.2053     3.19
146.0938  69.2111     3.98
149.3708  69.2722     3.87
184.1804  69.4656     4.45
163.2379  69.5458     3.70
148.9746  69.6825     3.53
129.2625  69.7753     3.21
267.3650  70.1447     5.27
160.3200  70.1508     3.91
143.5154  70.2158     3.66
157.1654  70.2336     4.00
287.1762  70.2839     4.73
255.1054  70.2900    10.60
151.3775  70.3644     8.71
148.8067  70.4081     3.93
141.6163  70.5067     3.93
152.3954  70.5486     9.00
157.6458  70.6194     4.00
124.7667  70.7142     3.39
125.9833  71.0294     3.55
155.3550  71.1161     3.96
145.1346  71.1864     3.84
144.8162  71.3117     3.63
146.1433  71.4825     3.39
 68.2079  71.8811     3.45
 56.2358  72.0644     3.50
 66.3150  72.8058     3.93
 89.9217  73.4275     4.61
197.1425  78.9369     1.99
172.0025  78.9914     4.35
101.9408  80.1239     3.39
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
